Week 1 8/23
North Penn,Central Bucks East,1
Northampton,Pocono Mountain West,1

Week 6 9/26
Olney,Benjamin Franklin,1
Simon Gratz,Northeast,2
George Washington,Prep Charter,1
Murrell Dobbins Vo Tech,Samuel Fels,2

Week 6 9/27
MCNP,South Philadelphia/Furness,1
Kensington,High School Of The Future,1
Spring-Ford,Methacton,1
Carlisle,Altoona,1
Bishop Shanahan,Downingtown West,2
Hollidaysburg,McDowell,2
William Penn,Dallastown,1
Northeast,Red Lion,2
Chester,Chichester,2
Pocono Mountain West,Freedom,2
Boyertown,Owen J. Roberts,2
Erie,DuBois,1
Central Bucks East,Souderton,2
Chambersburg,Cumberland Valley,1
Quakertown,Wissahickon,1
William Tennent,Central Bucks South,2
Williamsport,Scranton,2
North Allegheny,Seneca Valley,1
Lampeter Strasburg,Hempfield,2
Downingtown East,Avon Grove,1
Mt. Lebanon,Hempfield,1
Manheim Township,Wilson,1
Abington,Neshaminy,1
Conestoga,Garnet Valley,2
Pleasant Valley,Pocono Mountain East,2
Coutesville,Bayard Rustin,1
Big Spring,Mifflin County,2
Central,Martin Luther King,2
York County Tech,Littlestown,2
Taylor Allderdice,Perry Traditional Academy,1
East Stroudsburg North,Louis E. Dieruff,2
Liberty,Emmaus,2
Council Rock South,North Penn,2
Daniel Boone,Reading,2
Perkiomen Valley,Norristown,1
Central York,South Western,1
Lebanon,Columbia,1
Peters Township,Canon-McMillan,1
Springfield,Haverford,2
State College,Central Dauphin East,1
Harry S. Truman,Council Rock North,1
Pennridge,Central Bucks West,2
Upper Moreland,Hatboro-Horsham,1
Ridley,Upper Darby,1
Central Catholic,Pine-Richland,1
Frankford,Abraham Lincoln,2
Warwick,Cedar Crest,1
Pennsbury,Bensalem,1
Nazareth,Parkland,2
East Stroudsburg South,Northampton,2
Butler,Norwin,2
J.P. McCaskey,Penn Manor,2
Hazleton,Delaware Valley,2

Week 6 9/28
Stroudsburg,William Allen,1
Easton Area,Allentown Central Catholic,1
Central Dauphin,Harrisburg,1
Archbishop Ryan,Father Judge,2
Archbishop Wood,Roman Catholic,2
St. Josephs Prep,La Salle College,1

Week 7 10/3
Overbrook,George Washington,2
Abraham Lincoln,Jules E. Mastbaum,1

Week 7 10/4
Samuel Fels,Roxborough,2
Academy at Palumbo,Kensington,2
Central Bucks South,Pennridge,1
Plymouth Whitemarsh,Cheltenham,2
Red Lion,William Penn,2
Freedom,Easton Area,1
Northampton,Stroudsburg,1
Marple Newtown,Ridley,2
Canon-McMillan,Pine-Richland,2
West Scranton,Scranton,2
Chester,Penn Wood,2
Seneca Valley,Hempfield Area,1
Marple Newtown,Ridley,2
Owen J. Roberts,Norristown,1
Central Dauphin East,Chambersburg,2
Mt. Lebanon,Upper St. Clair,1
Roman Catholic,St. Josephs Prep,2
Harrisburg,State College,2
Wilson,Hempfield,1
Central Bucks West,Central Bucks East,1
Downingtown West,Downingtown East,1
Souderton,North Penn,2
Pocono Mountain East,William Allen,1
Upper Dublin,Quakertown,2
Altoona,Central Dauphin,2
Boys Latin Charter,South Philadelphia/Furness,1
North Allegheny,Butler,1
Imhotep Charter,Northeast,2
Solanco,J.P. McCaskey,1
Nazareth,Liberty,1
New Oxford,Dallastown,1
Spring-Ford,Boyertown,1
William Tennent,Neshaminy,2
Abington,Council Rock North,1
Methacton,Perkiomen Valley,2
Penncrest,Garnet Valley,2
Cumberland Valley,Carlisle,1
Mifflin County,Waynesboro,2
Manheim Township,Warwick,1
Simon Gratz,Central,1
Avon Grove,Coatesville,2
Parkland,Whitehall,1
Abington Heights,Delaware Valley,2
