Date,Visitor/Neutral,PTS,Home/Neutral,PTS
Tue Aug 18 2020,Miami Heat,113,Indiana Pacers,101
Tue Aug 18 2020,Oklahoma City Thunder,108,Houston Rockets,123
Tue Aug 18 2020,Portland Trail Blazers,100,Los Angeles Lakers,93
Wed Aug 19 2020,Brooklyn Nets,99,Toronto Raptors,104
Wed Aug 19 2020,Utah Jazz,124,Denver Nuggets,105
Wed Aug 19 2020,Philadelphia 76ers,101,Boston Celtics,128
Wed Aug 19 2020,Dallas Mavericks,127,Los Angeles Clippers,114
Thu Aug 20 2020,Miami Heat,109,Indiana Pacers,100
Thu Aug 20 2020,Oklahoma City Thunder,98,Houston Rockets,111
Thu Aug 20 2020,Orlando Magic,96,Milwaukee Bucks,111
Thu Aug 20 2020,Portland Trail Blazers,88,Los Angeles Lakers,111
Fri Aug 21 2020,Toronto Raptors,117,Brooklyn Nets,92
Fri Aug 21 2020,Denver Nuggets,87,Utah Jazz,124
Fri Aug 21 2020,Boston Celtics,102,Philadelphia 76ers,94
Fri Aug 21 2020,Los Angeles Clippers,130,Dallas Mavericks,122
Sat Aug 22 2020,Milwaukee Bucks,121,Orlando Magic,107
Sat Aug 22 2020,Indiana Pacers,115,Miami Heat,124
Sat Aug 22 2020,Houston Rockets,107,Oklahoma City Thunder,119
Sat Aug 22 2020,Los Angeles Lakers,116,Portland Trail Blazers,108
Sun Aug 23 2020,Boston Celtics,110,Philadelphia 76ers,106
Sun Aug 23 2020,Los Angeles Clippers,133,Dallas Mavericks,135
Sun Aug 23 2020,Toronto Raptors,150,Brooklyn Nets,122
Sun Aug 23 2020,Denver Nuggets,127,Utah Jazz,129
Mon Aug 24 2020,Milwaukee Bucks,121,Orlando Magic,106
Mon Aug 24 2020,Houston Rockets,114,Oklahoma City Thunder,117
Mon Aug 24 2020,Indiana Pacers,87,Miami Heat,99
Mon Aug 24 2020,Los Angeles Lakers,135,Portland Trail Blazers,115
Tue Aug 25 2020,Utah Jazz,107,Denver Nuggets,117
Tue Aug 25 2020,Dallas Mavericks,111,Los Angeles Clippers,154
Sat Aug 29 2020,Orlando Magic,104,Milwaukee Bucks,118
Sat Aug 29 2020,Oklahoma City Thunder,80,Houston Rockets,114
Sat Aug 29 2020,Portland Trail Blazers,122,Los Angeles Lakers,131
Sun Aug 30 2020,Boston Celtics,112,Toronto Raptors,94
Sun Aug 30 2020,Los Angeles Clippers,111,Dallas Mavericks,97
Sun Aug 30 2020,Denver Nuggets,119,Utah Jazz,107
Mon Aug 31 2020,Miami Heat,115,Milwaukee Bucks,104
Mon Aug 31 2020,Houston Rockets,100,Oklahoma City Thunder,104
Tue Sep 1 2020,Boston Celtics,102,Toronto Raptors,99
Tue Sep 1 2020,Utah Jazz,78,Denver Nuggets,80
Wed Sep 2 2020,Miami Heat,116,Milwaukee Bucks,114
Wed Sep 2 2020,Oklahoma City Thunder,102,Houston Rockets,104
Thu Sep 3 2020,Toronto Raptors,104,Boston Celtics,103
Thu Sep 3 2020,Denver Nuggets,97,Los Angeles Clippers,120
