Date,Winner,Pts,Loser,Pts
//Dec 12 2020,Ohio,,Kent State,
//Dec 12 2020,Oklahoma State,,Baylor,
//Dec 12 2020,Oregon State,,Stanford,
//Dec 12 2020,Purdue,,Indiana,
//Dec 12 2020,Rutgers,,Maryland,
//Dec 12 2020,Southern California,,UCLA,
//Dec 12 2020,Utah State,,Colorado State,
//Dec 12 2020,Vanderbilt,,Missouri,
//Dec 12 2020,Virginia,,Virginia Tech,
//Dec 12 2020,Washington,,Oregon,
//Dec 12 2020,Western Michigan,,Ball State,
//Dec 12 2020,Wisconsin,,Iowa,
